Field,Rank,Player
Points,1,Shai Gilgeous-Alexander
Points,2,Jalen Williams
Points,3,Malik Monk
Points,4,Jayson Tatum
Points,5,Kristaps Porzingis
Rebounds,1,Bam Adebayo
Rebounds,2,Domantas Sabonis
Rebounds,3,Keegan Murray
Rebounds,4,Jayson Tatum
Rebounds,5,Jaylen Brown
Assists,1,Domantas Sabonis
Assists,2,Jayson Tatum
Assists,3,Jalen Williams
Assists,4,Shai Gilgeous-Alexander
Assists,5,Jrue Holiday
Blocks,1,Chet Holmgren
Blocks,2,Al Horford
Blocks,3,Bam Adebayo
Blocks,4,Shai Gilgeous-Alexander
Blocks,5,Keegan Murray
Steals,1,Luguentz Dort
Steals,2,Bam Adebayo
Steals,3,Haywood Highsmith
Steals,4,Chet Holmgren
Steals,5,Ousmane Dieng
Turnovers,1,Jaylen Brown
Turnovers,2,Domantas Sabonis
Turnovers,3,Malik Monk
Turnovers,4,De'Aaron Fox
Turnovers,5,Bam Adebayo
Three Pointers Made,1,Malik Monk
Three Pointers Made,2,Jrue Holiday
Three Pointers Made,3,Tyler Herro
Three Pointers Made,4,Davion Mitchell
Three Pointers Made,5,Jaylen Brown
Free Throws Made,1,Bam Adebayo
Free Throws Made,2,Kristaps Porzingis
Free Throws Made,3,Harrison Barnes
Free Throws Made,4,Shai Gilgeous-Alexander
Free Throws Made,5,Jaylin Williams
Fantasy Points,1,Shai Gilgeous-Alexander
Fantasy Points,2,Jayson Tatum
Fantasy Points,3,Bam Adebayo
Fantasy Points,4,Domantas Sabonis
Fantasy Points,5,Jalen Williams
